"species_dnr_data_name","species_dnr_site_name","color","wikipedia_link","wikipedia_thumb"
"Sweetclover, Yellow","White and yellow sweet clover",,"http://en.wikipedia.org/wiki/Sweet_clover",
"Tansy","Common tansy",,"http://en.wikipedia.org/wiki/Common_Tansy",
"Tansy, Common","Common tansy",,"http://en.wikipedia.org/wiki/Common_Tansy",
"Teasel, Cut-Leaved",,,"http://en.wikipedia.org/wiki/Teasel",
"Thistle spp.",,,"http://en.wikipedia.org/wiki/Thistle",
"Thistle, Bull","Bull thistle",,"http://en.wikipedia.org/wiki/Bull_thistle",
"Thistle, Canada","Canada thistle",,"http://en.wikipedia.org/wiki/Canada_thistle",
"Thistle, Musk/Nodding","Musk or nodding thistle",,"http://en.wikipedia.org/wiki/Musk_thistle",
"Thistle, Plumeless",,,"http://en.wikipedia.org/wiki/Plumeless_thistle",
"Thistle, Sow","Perennial sow thistle",,"http://en.wikipedia.org/wiki/Perennial_Sow-thistle",
"threespine stickleback",,,"http://en.wikipedia.org/wiki/Threespine_stickleback",
"Trefoil, Birdsfoot","Birdsfoot trefoil",,"http://en.wikipedia.org/wiki/Birdsfoot_trefoil","http://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Lotus_formosissima_2.jpg/220px-Lotus_formosissima_2.jpg"
"tubenose goby",,,"http://en.wikipedia.org/wiki/Tubenose_goby",
"Vetch",,,"http://en.wikipedia.org/wiki/Vetch",
"Vetch, Cow","Cow vetch and hairy vetch",,"http://en.wikipedia.org/wiki/Cow_vetch",
"Vetch, Crown","Crown vetch or axseed",,"http://en.wikipedia.org/wiki/Crown_Vetch",
"Vetch, Hairy","Cow vetch and hairy vetch",,"http://en.wikipedia.org/wiki/Hairy_vetch",
"white perch","White perch",,"http://en.wikipedia.org/wiki/White_perch",
"zebra mussel","Zebra mussel",,"http://en.wikipedia.org/wiki/Zebra_mussel",
"Brazilian elodea","Brazilian elodea",,"http://en.wikipedia.org/wiki/Elodea",
"Brittle naiad","Brittle naiad",,"http://en.wikipedia.org/wiki/Brittle_naiad",
"Chinese and Banded Mystery Snails","Chinese and Banded Mystery Snails",,"http://en.wikipedia.org/wiki/Golden_mystery_snail",
"Common carp","Common carp",,"http://en.wikipedia.org/wiki/Carp",
"Earthworms","Earthworms",,"http://en.wikipedia.org/wiki/Earthworms",
"Emerald ash borer","Emerald ash borer",,"http://en.wikipedia.org/wiki/Emerald_ash_borer",
"European Starling","European Starling",,"http://en.wikipedia.org/wiki/European_Starling","http://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Sturnus_vulgaris_-England_-standing-8.jpg/300px-Sturnus_vulgaris_-England_-standing-8.jpg"
"Faucet Snail","Faucet Snail",,"http://en.wikipedia.org/wiki/Faucet_snail",
"Gypsy moth","Gypsy moth",,"http://en.wikipedia.org/wiki/Gypsy_moth",
"Mute swan","Mute swan",,"http://en.wikipedia.org/wiki/Mute_swan",
"New Zealand Mud Snail","New Zealand Mud Snail",,"http://en.wikipedia.org/wiki/New_Zealand_Mud_Snail",
"Non-native waterlilies","Non-native waterlilies",,"http://en.wikipedia.org/wiki/Nymphaeaceae",
"Rusty crayfish","Rusty crayfish",,"http://en.wikipedia.org/wiki/Rusty_crayfish",
